time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
1575158400,217.7,217.7,217.5,217.5,217.5666666666667,1.39051739,NaN,NaN,NaN,NaN,NaN,NaN
1575159300,216.6,216.6,216.5,216.5,216.5765652218125,31.84578156,NaN,NaN,NaN,NaN,NaN,NaN
1575160200,216.1,216.6,216.1,216.1,216.42668301458235,31.13138071,NaN,NaN,NaN,NaN,NaN,NaN
1575161100,216.2,216.2,215.5,215.5,216.26348654079956,19.81423143,NaN,NaN,NaN,NaN,NaN,NaN
1575162000,215.8,215.8,214.3,214.6,215.93713243906126,26.48949251,NaN,NaN,NaN,NaN,NaN,NaN
1575162900,214.6,214.7,212.9,214.2,214.6342843774951,205.70341517,NaN,NaN,NaN,NaN,NaN,NaN
1575163800,213.4,215,213.4,214,214.51073114029666,103.57541116,NaN,NaN,NaN,NaN,NaN,NaN
1575164700,214,214.5,213.5,213.9,214.38496612540115,126.26133221,NaN,NaN,NaN,NaN,NaN,NaN
1575165600,214,214,213,213.6,214.3308174380879,37.08743398,NaN,NaN,NaN,NaN,NaN,NaN
1575166500,214.1,214.8,214.1,214.7,214.337766478327,20.72625341,NaN,NaN,NaN,NaN,NaN,NaN
1575167400,214.4,214.4,213,213,214.28495869177206,38.98026068,NaN,NaN,NaN,NaN,NaN,NaN
1575168300,213.1,213.4,211.1,211.2,213.55974473942928,280.95679797,NaN,NaN,NaN,NaN,NaN,NaN
1575169200,211,211.8,210.2,210.6,213.3311485706301,85.70330479,NaN,NaN,NaN,NaN,NaN,NaN
1575170100,211.2,211.3,210.8,210.8,213.3250442366696,2.61337971,NaN,NaN,NaN,NaN,NaN,NaN
1575171000,210.7,211,210.3,210.8,213.2121578084512,45.4878111,NaN,NaN,NaN,NaN,13.978494623656019,NaN
1575171900,210.9,211.5,210.8,211.5,213.19710602271942,8.24749,NaN,NaN,NaN,NaN,20.428462127008416,NaN
1575172800,211.4,211.8,211.1,211.8,213.05727205302355,100.003,NaN,NaN,NaN,NaN,23.09005062859103,NaN
1575173700,211.8,212,211,211.4,212.4353645338139,748.5873017,NaN,NaN,NaN,NaN,22.031874339778696,NaN
1575174600,211.6,212.1,211.2,212.1,212.41366639291311,67.69697797,NaN,NaN,NaN,NaN,28.230505039097352,NaN
1575175500,212.3,213.2,212.3,213.2,212.4316875373455,76.281,102.9291286725,NaN,NaN,NaN,36.74144046915392,0.48133727743274535
1575176400,213,213,212.3,212.3,212.43316488517564,30.36128196,104.377666901,NaN,NaN,NaN,33.265546095600186,0.3889660664312842
1575177300,212.3,212.7,212.1,212.1,212.43104026691935,33.8690416,104.47882990299999,NaN,NaN,NaN,32.52907737431356,0.38022667001835453
1575178200,212,212.4,211.9,212.4,212.42758173242046,37.79604709,104.81206322199998,NaN,NaN,NaN,34.858733339301295,0.4500939175460417
1575179100,212.6,212.6,212.2,212.4,212.427451198642,10.27395754,104.33504952749999,NaN,NaN,NaN,34.858733339301295,0.47448212246571925
1575180000,212.5,212.5,212,212.5,212.42643705199626,23.64667754,104.19290877899998,NaN,NaN,NaN,35.71679944102951,0.5158643579242685
1575180900,212.4,212.6,212.4,212.6,212.42666441312804,4.67756426,94.14161623349999,NaN,-0.6645753116293349,NaN,36.6159434603706,0.5573771588562215
1575181800,212.4,212.6,212.4,212.6,212.42863477476624,41.38770819,91.03223108499999,NaN,-0.6043667057201105,NaN,36.6159434603706,0.577614499250444
1575182700,212.1,212.3,212.1,212.3,212.42720591361484,16.51341791,85.54483536999999,NaN,-0.5742389750992629,NaN,34.91670009611384,0.526826597060104
1575183600,212.3,212.3,212.3,212.3,212.42592947776484,22.87831224,84.83437928299999,NaN,-0.5440905938424692,NaN,34.91670009611384,0.5459600483435049
1575184500,212.6,212.8,212.6,212.7,212.4262436205822,2.616346,83.92888391249998,NaN,-0.48236077270004785,NaN,39.274474455589186,0.7298405544600006
1575185400,212.2,212.2,212.2,212.2,212.42615346050812,0.91,82.0253708785,NaN,-0.4683860037400507,NaN,36.02719049959474,0.5754712411816865
1575186300,211.5,211.5,211.5,211.5,212.42615222484517,0.00304664,67.977683312,NaN,-0.5079398342843149,NaN,32.033887621028384,0.31475341306563526
1575187200,211.3,211.7,210.8,211.7,212.40924466851044,38.25502,65.60526907250001,NaN,-0.5171863985650589,NaN,34.27542647426506,0.3515182992419891
1575188100,212.2,212.3,211.4,211.7,212.40300012492892,24.04377638,66.67678890600001,0.02387207002677394,-0.5185369956674606,-0.5424090656942345,34.27542647426506,0.3127806827775073
1575189000,211.9,211.9,211.1,211.4,212.39524640123005,19.5877628,65.38178649100001,0.003833231587274666,-0.5376175262101412,-0.5414507577974159,32.41561576801607,0.11791234781958912
1575189900,211.7,211.8,211.7,211.7,212.3945428479732,2.5168825,65.09525611600002,0.015153933886570825,-0.5225083404392024,-0.5376622743257732,36.14685302887571,0.26306984201697076
1575190800,211.3,211.4,211.2,211.4,212.37280881813146,49.51,62.57060611600002,0.0072116016933402305,-0.5286477722090979,-0.5358593739024381,34.11833436065815,0.13146178836291347
1575191700,211,211,210.4,210.6,212.32486408553373,69.89698911,28.636090486500024,-0.044313345763022594,-0.5912510561062163,-0.5469377103431937,29.382930357528906,-0.1459941895424046
1575192600,210.5,212,210,210.9,212.2483842305023,148.41831637,32.67215740650003,-0.05015357996606451,-0.6096296853007743,-0.5594761053347098,33.1310191535384,0.05355736805047818
1575193500,210.4,214.1,209.1,213,212.22975938745822,300.99646082,43.90793044750003,0.08793273879114161,-0.44956018184578284,-0.5374929206369244,52.240304700377344,0.9019772014782897
1575194400,213.1,213.1,213.1,213.1,212.2297986149625,0.13238433,42.39648556600003,0.18115497548307297,-0.3110492012830832,-0.4922041767661562,52.930112804107864,0.8991108692678027
