time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
1575158400,6869.69,6877.69,6839.01,6839.01,6851.903333333333,9.73498,NaN,NaN,NaN,NaN,NaN,NaN
1575159300,6839.01,6847.13,6820.32,6826.23,6848.080112257539,2.20839,NaN,NaN,NaN,NaN,NaN,NaN
1575160200,6820,6841.8,6814.18,6825,6846.389560080323,1.04097,NaN,NaN,NaN,NaN,NaN,NaN
1575161100,6825,6828,6801.3,6801.3,6837.480005697153,4.24064,NaN,NaN,NaN,NaN,NaN,NaN
1575162000,6804,6818.97,6750,6754.99,6807.037732600451,16.19198,NaN,NaN,NaN,NaN,NaN,NaN
1575162900,6750.86,6776.48,6725,6725.01,6790.5808122119215,11.3583,NaN,NaN,NaN,NaN,NaN,NaN
1575163800,6725.01,6743.98,6701.26,6720.88,6774.777915464542,13.41689,NaN,NaN,NaN,NaN,NaN,NaN
1575164700,6709.54,6737.95,6709.52,6726.41,6773.22409940218,1.86059,NaN,NaN,NaN,NaN,NaN,NaN
1575165600,6723.8,6730.97,6710.02,6730.97,6770.902619594838,2.97151,NaN,NaN,NaN,NaN,NaN,NaN
1575166500,6730.72,6762.59,6730.72,6738.43,6767.7762371914205,8.25708,NaN,NaN,NaN,NaN,NaN,NaN
1575167400,6745.99,6745.99,6726.1,6726.11,6767.3569629631775,0.86318,NaN,NaN,NaN,NaN,NaN,NaN
1575168300,6726.1,6726.1,6642,6648.74,6733.998209070726,38.99418,NaN,NaN,NaN,NaN,NaN,NaN
1575169200,6648.63,6669.1,6611,6623.85,6723.083674882591,13.7168,NaN,NaN,NaN,NaN,NaN,NaN
1575170100,6622,6636.9,6611.02,6630,6721.54041663504,2.01622,NaN,NaN,NaN,NaN,NaN,NaN
1575171000,6628.31,6645.38,6591.1,6607.32,6715.320854709623,7.83439,NaN,NaN,NaN,NaN,8.491884338385404,NaN
1575171900,6607.34,6637.18,6600.01,6630.45,6711.59705129177,5.63298,NaN,NaN,NaN,NaN,15.989919002831442,NaN
1575172800,6635.14,6652.71,6625.79,6643.48,6710.227075549066,2.76368,NaN,NaN,NaN,NaN,19.96827354104171,NaN
1575173700,6640.31,6640.31,6614.14,6627.48,6707.722676384321,4.45684,NaN,NaN,NaN,NaN,18.791497746784003,NaN
1575174600,6623.66,6657.3,6617.92,6653.01,6707.337322031295,0.88031,NaN,NaN,NaN,NaN,26.259037241124048,NaN
1575175500,6647.35,6687.11,6647.21,6686.39,6706.674454220112,2.97229,7.57061,NaN,NaN,NaN,34.71235564388009,0.42466693227041963
1575176400,6679.11,6679.11,6645.76,6660,6705.270534335706,4.8702,7.327371000000001,NaN,NaN,NaN,31.6256473482662,0.3526345503324122
1575177300,6658.68,6674.9,6656.96,6657.93,6704.458127893758,3.08206,7.371054500000001,NaN,NaN,NaN,31.389862143895073,0.36371101195242217
1575178200,6645.38,6645.38,6605.54,6636.68,6702.356150147878,4.57898,7.547955000000002,NaN,NaN,NaN,28.999615904306424,0.28889895021606055
1575179100,6633.29,6647.21,6622.95,6645.48,6700.355864891465,5.30558,7.601202000000001,NaN,NaN,NaN,31.331563650097166,0.3461502981812822
1575180000,6649.45,6663.63,6639.39,6657.41,6698.59942630806,6.58815,7.1210105000000015,NaN,NaN,NaN,34.47363917798745,0.43209287058110085
1575180900,6657.16,6669.68,6650.41,6667.82,6697.554067801649,5.26422,6.816306500000001,NaN,-33.79174257338127,NaN,37.175025832044575,0.511764442136916
