time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
1572565500,3.2613,3.2613,3.2612,3.2612,3.261233333333333,517.7,NaN,NaN,NaN,NaN,NaN,NaN
1572567300,3.2434,3.2435,3.2404,3.2404,3.243306437821163,4954.74431189,NaN,NaN,NaN,NaN,NaN,NaN
1572569100,3.2351,3.2351,3.2351,3.2351,3.243095056651552,144.68586399,NaN,NaN,NaN,NaN,NaN,NaN
1572570000,3.2551,3.2551,3.2545,3.2545,3.2471352451290096,3000,NaN,NaN,NaN,NaN,NaN,NaN
1572570900,3.2547,3.2583,3.2546,3.2583,3.2484416621210594,1305.22427263,NaN,NaN,NaN,NaN,NaN,NaN
1572571800,3.2469,3.2469,3.2469,3.2469,3.248440695657109,6.22419998,NaN,NaN,NaN,NaN,NaN,NaN
1572572700,3.2414,3.2414,3.2414,3.2414,3.2477874121578982,1015.46235648,NaN,NaN,NaN,NaN,NaN,NaN
1572573600,3.2383,3.2383,3.2351,3.2351,3.2430763630470976,7461.67585468,NaN,NaN,NaN,NaN,NaN,NaN
1572574500,3.2351,3.2352,3.2351,3.2351,3.2409952536234603,6534.43051246,NaN,NaN,NaN,NaN,NaN,NaN
1572575400,3.2351,3.2351,3.2351,3.2351,3.239407132996343,9195.89957371,NaN,NaN,NaN,NaN,NaN,NaN
1572576300,3.2351,3.2375,3.2351,3.2375,3.2391969357510217,2873.64343726,NaN,NaN,NaN,NaN,NaN,NaN
1572578100,3.2357,3.2357,3.2302,3.2302,3.2388115570251195,2104.20133274,NaN,NaN,NaN,NaN,NaN,NaN
1572579000,3.2139,3.2272,3.2139,3.2272,3.2387582754508455,130.32145513,NaN,NaN,NaN,NaN,NaN,NaN
1572580800,3.222,3.222,3.222,3.222,3.2387015185164434,133.36399504,NaN,NaN,NaN,NaN,NaN,NaN
1572584400,3.232,3.232,3.232,3.232,3.23867889842044,133.36399505,NaN,NaN,NaN,NaN,35.458167330677355,NaN
1572587100,3.2288,3.2288,3.2288,3.2288,3.238671403228269,30,NaN,NaN,NaN,NaN,34.28148148148151,NaN
1572589800,3.2363,3.2363,3.2363,3.2363,3.2386711055972817,4.96334257,NaN,NaN,NaN,NaN,39.36067297581485,NaN
1572597900,3.2455,3.2455,3.2455,3.2455,3.238673212146158,12.20272,NaN,NaN,NaN,NaN,44.978290290666294,NaN
1572602400,3.2351,3.2351,3.2351,3.2351,3.23867293271518,3.09375,NaN,NaN,NaN,NaN,40.41978963030966,NaN
1572603300,3.28,3.2827,3.28,3.2817,3.2396767284398895,950.26138077,2025.5731177189998,NaN,NaN,NaN,59.987863569648425,1.2478301155612466
1572604200,3.2817,3.2817,3.2517,3.2517,3.2472493022496822,21229.15060032,3061.1456477350002,NaN,NaN,NaN,48.86192531646613,0.7145525364041531
1572605100,3.2737,3.2878,3.2737,3.2878,3.247334995748151,147.93145513,2820.8050048970003,NaN,NaN,NaN,58.771249818079966,1.1752921624868586
1572606000,3.2947,3.3018,3.2947,3.2981,3.2484517693960773,1389.30560276,2883.0359918355,NaN,NaN,NaN,61.0880943081725,1.1381552971784554
1572606900,3.2901,3.2998,3.2901,3.2998,3.2600070382372675,20000,3733.0359918355,NaN,NaN,NaN,61.4729157279119,1.0480823275208204
