time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
1572564600,58.96,58.96,58.96,58.96,58.96,0.5,NaN,NaN,NaN,NaN,NaN,NaN
1572572700,59.07,59.07,59.05,59.05,59.01668726945623,0.70895603,NaN,NaN,NaN,NaN,NaN,NaN
1572573600,58.95,58.97,58.95,58.97,58.96965994906194,8.98647318,NaN,NaN,NaN,NaN,NaN,NaN
1572574500,58.95,58.95,58.95,58.95,58.95902526073997,12.01352682,NaN,NaN,NaN,NaN,NaN,NaN
1572575400,58.86,58.86,58.86,58.86,58.95808152032894,0.21369458,NaN,NaN,NaN,NaN,NaN,NaN
1572576300,58.61,58.61,58.61,58.61,58.93251987899875,1.77713,NaN,NaN,NaN,NaN,NaN,NaN
1572580800,58.57,58.57,58.57,58.57,58.91813404427227,1,NaN,NaN,NaN,NaN,NaN,NaN
1572585300,59.1,59.1,59.1,59.1,58.948136677782195,4.97855421,NaN,NaN,NaN,NaN,NaN,NaN
1572587100,59.13,59.13,59.13,59.13,58.948948776261965,0.13536379,NaN,NaN,NaN,NaN,NaN,NaN
1572588000,58.95,58.95,58.95,58.95,58.949030895232575,2.56869,NaN,NaN,NaN,NaN,NaN,NaN
1572590700,58.95,58.95,58.95,58.95,58.949042553808916,0.4004004,NaN,NaN,NaN,NaN,NaN,NaN
1572591600,59,59,59,59,58.96086872930551,10.05865889,NaN,NaN,NaN,NaN,NaN,NaN
1572593400,58.96,58.96,58.94,58.94,58.95898322990724,6.63499,NaN,NaN,NaN,NaN,NaN,NaN
1572595200,58.94,59.13,58.94,59.13,59.00020484282659,30.99688301,NaN,NaN,NaN,NaN,NaN,NaN
1572596100,59.36,59.36,59.22,59.22,59.00615672170187,1.85,NaN,NaN,NaN,NaN,57.64705882352937,NaN
1572597000,59.17,59.17,59.15,59.15,59.05988338652136,45.9771646,NaN,NaN,NaN,NaN,55.19930675909873,NaN
1572605100,59.47,59.47,59.47,59.47,59.06335626249297,1.1,NaN,NaN,NaN,NaN,62.94519792700406,NaN
