time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
1501545600,320,600,130,350,360,20400.31911527,NaN,NaN,NaN,NaN,NaN,NaN
1501632000,343.999,811,303,489.9,534.6333333333333,59262.18102677,NaN,NaN,NaN,NaN,NaN,NaN
1501718400,488.7,583,369,397.111,449.7036666666666,31221.86418429,NaN,NaN,NaN,NaN,NaN,NaN
1501804800,397.0001,414.4999,270,281.0001,321.8333333333333,24643.93486783,NaN,NaN,NaN,NaN,NaN,NaN
1501891200,281.0007,320,241,255,272,12852.43657965,NaN,NaN,NaN,NaN,NaN,NaN
1501977600,250,285,240,280,268.3333333333333,9363.18547869,NaN,NaN,NaN,NaN,NaN,NaN
1502064000,279.9999,440,270.0002,321.173,343.7244,29703.65867016,NaN,NaN,NaN,NaN,NaN,NaN
1502150400,321,390,304,344.5,346.1666666666667,22813.10839765,NaN,NaN,NaN,NaN,NaN,NaN
1502236800,344.5,355,300,304.9983,319.99943333333334,12423.32498947,NaN,NaN,NaN,NaN,NaN,NaN
1502323200,303.15,318.0001,275,278,290.3333666666667,14073.27018957,NaN,NaN,NaN,NaN,NaN,NaN
1502409600,277.9996,355,276.5,328.1,319.8666666666667,14997.45479284,NaN,NaN,NaN,NaN,NaN,NaN
1502496000,328.4591,344.9,313,320,325.96666666666664,6117.45775665,NaN,NaN,NaN,NaN,NaN,NaN
1502582400,318.1006,321.9919,296.2081,296.3268,304.8422666666667,5575.68667584,NaN,NaN,NaN,NaN,NaN,NaN
1502668800,296.8151,329.4991,292.0111,303.9998,308.50333333333333,7625.81914431,NaN,NaN,NaN,NaN,NaN,NaN
1502755200,300.3331,308.9999,293.0855,297.8492,299.9782,5785.17866829,NaN,NaN,NaN,NaN,45.83790372113633,NaN
1502841600,297.8528,308,292.01,299.9591,299.9897,5593.89228516,NaN,NaN,NaN,NaN,46.033630792866695,NaN
1502928000,299.9865,439.78,295,437.9998,390.92659999999995,22378.05111577,NaN,NaN,NaN,NaN,56.98574177319523,NaN
1503014400,438,794.9,424.1007,702,640.3335666666667,50250.3870993,NaN,NaN,NaN,NaN,69.66513536519845,NaN
1503100800,702,939.9999,603.0001,738.999,760.6663333333332,35749.42291282,NaN,NaN,NaN,NaN,70.95723048842589,NaN
1503187200,737.0525,835,675.0001,720,743.3333666666668,22650.81327182,20674.072361107505,NaN,NaN,NaN,69.3243159386115,1.0531210044533832
1503273600,721,746,538,599.7402,627.9134,19979.88212236,20653.050511462006,NaN,NaN,NaN,59.924008130470504,0.8184077582343416
1503360000,596.2,744.9995,563.1005,687.5502,665.2167333333333,16432.09799136,18511.546359691507,NaN,NaN,NaN,63.785435993621235,0.9130950359692104
1503446400,686.3695,710,651.3091,677.999,679.7693666666665,7198.09953209,17310.35812708151,NaN,NaN,NaN,63.07355142858611,0.8571823440112707
1503532800,677.5,701.9,606,621.9989,643.2996333333334,7578.53760836,16457.088264108006,NaN,NaN,NaN,58.921369021143605,0.7519604452272802
1503619200,621.0008,670.0001,613.0012,635.1999,639.4004,5792.62869733,16104.097869992009,NaN,NaN,NaN,59.59659603149941,0.744633977254767
1503705600,635.15,642.7995,615,618.1,625.2998333333334,3872.2929204,15829.553242077507,NaN,136.60516516081543,NaN,58.26067502107805,0.6992269841676085
1503792000,618.889,658.9998,581.1,616.2177,618.7725,7682.88158309,14728.514387724008,NaN,129.19367198902228,NaN,58.10626969540789,0.6770687700241463
1503878400,620.4996,627.5,587.4,589.0229,601.3076333333333,4350.23191771,13805.370563727007,NaN,119.74526825626094,NaN,55.80513196484363,0.6226100491863453
1503964800,591.9909,595,520,547.9979,554.3326333333333,8689.72885356,13618.690756931504,NaN,107.7054047248239,NaN,52.431780240322404,0.547820727546703
1504051200,547.8001,615.904,519,579.6,571.5013333333333,9311.45880799,13380.600187852508,NaN,99.56601643409886,NaN,54.7032480388099,0.5763597354177231
1504137600,579.65,609,571.001,595,591.667,7300.7679577,12995.765846095508,NaN,93.28283738656103,NaN,55.810628787483644,0.5829702267396066
1504224000,593.053,677,584.335,631.795,631.0433333333334,7674.40519681,13073.61321810351,NaN,90.23228015687681,NaN,58.4258365489771,0.6241380838917837
1504310400,630.016,664,575.005,580.005,606.3366666666666,7264.27522739,13158.04264568101,NaN,82.68255833696043,NaN,53.61605839711311,0.511306133606279
1504396800,580.016,638.3,579.18,610,609.16,4027.26742822,12978.11505987651,-25.918759138574387,78.21804627478127,104.13680541335566,55.881378995099,0.5444067250406954
1504483200,612.4,615.865,501.001,532.037,549.6343333333333,7022.49940415,13039.98109666951,-29.22179250105519,67.60956478703667,96.83135728809187,49.160818603311,0.320981066785608
1504569600,528.831,568.893,500,558.201,542.3646666666667,6306.95852479,13075.634408651009,-28.973282817431993,60.614753766301874,89.58803658373387,51.278493849962885,0.29626085805083147
1504656000,558.2,673.1,549.501,654,625.5336666666667,7754.60848554,12344.462277139508,-22.001783053415195,62.08580776696488,84.08759082038007,58.151982480792945,0.6312621405908257
1504742400,654.3,722,619.8,675.1,672.3000000000001,8306.81071189,10247.283457769008,-15.89887004589005,64.2140032630175,80.11287330890755,59.50699311491615,0.7388440361535581
1504828800,675.1,705,580,616.9,633.9666666666667,8112.67408763,8865.446016509508,-15.684799174347631,60.50687434097301,76.19167351532064,54.28569566460942,0.49775547176455354
1504915200,615.2,625,568.9,594.4,596.1,2865.7675888,7876.193732358508,-16.858922988312585,55.11801977992991,71.9769427682425,52.37250610584293,0.39854582458338245
1505001600,594.5,594.5,550,561.5,568.6666666666666,3094.40739254,7031.919995867507,-19.46686963488159,47.643355724640514,67.1102253595221,49.61880404290575,0.2189117183306997
1505088000,565.4,629,552.7,560,580.5666666666667,3548.55168787,6387.742680693007,-20.788552205006432,41.124535103264066,61.9130873082705,49.49103660423214,0.23000643576900487
1505174400,558.6,584.9,530.2,539.1,551.4,5309.86682236,6293.331045206507,-22.42542594928507,33.881304871664156,56.30673082094923,47.649942498201455,0.12619724872873012
1505260800,539.7,539.7,469.5,508.7,505.96666666666675,6410.15281882,6234.911805729507,-24.72920351310701,25.39522642956547,50.12442994267248,45.026168576360405,0.013483152992053042
1505347200,508.7,519,389.6,390.2,432.93333333333334,8455.97616848,6368.079179287007,-32.896188969563454,9.004193730718157,41.90038270028161,36.572453965748196,-0.29329025398104025
1505433600,390.1,459.5,303,434.8,399.09999999999997,19413.65514984,7145.147290759007,-33.82635463344194,-0.38256059152081434,33.44379404192112,41.057935992672824,-0.007204808812863525
1505520000,434.2,480,422.2,449,450.40000000000003,7354.47208529,7128.726815869008,-32.034820906182894,-6.599732090807493,25.4350888153754,42.45330717867195,0.10192521069791667
1505606400,449,456.8,411.9,443.7,437.4666666666667,2463.00691256,7034.365565611506,-29.80272449461152,-11.818316802889,17.98440769172252,42.0531458567745,0.13048518739686407
1505692800,443.6,497.2,443,485.8,475.33333333333326,7962.25383606,6997.991814736507,-24.318618407337894,-12.413865317449847,11.904753089888047,46.37694990387674,0.28732829986397285
1505779200,486,549.7,455.2,531.5,512.1333333333333,7976.95718953,6931.266733813505,-16.79853092013685,-9.093410560283019,7.705120359853834,50.679103301023765,0.4465502708445871
1505865600,530,532.2,475,475,494.06666666666666,6847.34531814,6908.595601835505,-14.880423139614877,-10.895408564664763,3.9850145749501147,45.78803919189847,0.28097498270686033
1505952000,477.1,484.5,415.2,419.4,439.70000000000005,6378.65472681,6843.808078335505,-16.48272669846409,-16.61839379813,-0.13566709966590818,41.53943702045545,0.1400205337836644
1506038400,421.8,447.6,399,411.7,419.43333333333334,3867.05008021,6673.9468209765055,-17.113126917769435,-21.5270757468777,-4.413948829108266,40.97243267394949,0.1568846476720808
1506124800,409.9,448,399.9,428.9,425.59999999999997,3018.6367539,6623.515287260506,-15.473246224627164,-23.755506609892223,-8.282260385265058,42.84903292703488,0.23763098697920712
1506211200,431,434,413.8,421.2,423.00000000000006,2510.51197042,6397.915915574005,-14.050155864919796,-25.844955216414803,-11.794799351495007,42.202189997503716,0.23843889039476146
1506297600,422.2,458.7,418.9,451.6,443.06666666666655,2579.58841332,6211.547410000506,-10.374070095760437,-24.762386971195554,-14.388316875435116,45.68813151296942,0.34620921211470185
1506384000,451.8,467.2,440,449.1,452.1000000000001,3605.86033598,6004.110002522506,-7.554513477588223,-23.831458722420393,-16.27694524483217,45.44538688533693,0.3575886542945687
1506470400,449.5,469,440.4,465,458.1333333333334,5065.62623133,5842.050778494506,-4.228155275967225,-21.5621393397912,-17.333984063823976,47.36094832173045,0.4335470609165824
1506556800,464.4,487,443.8,459,463.26666666666665,3625.32503054,5617.683325640006,-2.14648687015913,-20.017092651522887,-17.870605781363757,46.69464724750771,0.43254782780600304
1506643200,459,459.2,431.7,442,444.3,2901.40789286,5619.465340843007,-1.6511924365719821,-19.934596327078737,-18.283403890506754,44.772681754144486,0.37438850982092947
1506729600,438.8,452.9,431.8,435.2,439.96666666666675,5417.07518605,5735.598730518506,-1.5214670557409065,-20.18523771018289,-18.663770654441983,43.99266587805224,0.3577536684191361
1506816000,435.2,442.4,416.7,418.5,425.8666666666666,4778.38892905,5797.090592577506,-2.2560008343657003,-21.483771697399106,-19.227770863033406,42.0549090581656,0.2731738130957782
1506902400,418.5,432.7,406.1,420.3,419.7,8126.40675726,5937.9175893225065,-2.3079613733498334,-22.112722579720696,-19.804761206370863,42.349664309779634,0.297642018845988
1506988800,420,420.3,392.1,402.5,404.9666666666667,4214.01589533,5828.110743148007,-3.1749402720577606,-23.773436546443065,-20.598496274385305,40.17338083100109,0.18539434711157474
