time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
1417392000,300,370,300,370,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1417478400,377,378,377,378,377.6666666666667,15,NaN,NaN,NaN,NaN,NaN,NaN
1417564800,377.9,378,377.01,378,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1417651200,377.1,377.1,377.1,377.1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1417824000,378,378,378,378,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1417996800,375.01,375.01,375,375,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1418169600,398,398,360.5,360.5,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1418342400,379,379,350,350,359.6666666666667,3,NaN,NaN,NaN,NaN,NaN,NaN
1418860800,345,345,340,340,341.6666666666667,2,NaN,NaN,NaN,NaN,NaN,NaN
1420675200,360,360,264.81,288.99,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1421107200,260,260,260,260,260,1,NaN,NaN,NaN,NaN,NaN,NaN
1421193600,200,221,109.87,120,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1421280000,191.99,224,150,204.22,192.74,1,NaN,NaN,NaN,NaN,NaN,NaN
1421366400,210.98,225.5,189,199.46,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1421452800,210,210,184,184,NaN,0,NaN,NaN,NaN,NaN,25.01611863313991,NaN
1421625600,210,225.51,210,225.51,NaN,0,NaN,NaN,NaN,NaN,33.055609878492916,NaN
1421712000,215,218,208,218,NaN,0,NaN,NaN,NaN,NaN,32.37921722480216,NaN
1421798400,219,225.51,219,225.51,NaN,0,NaN,NaN,NaN,NaN,33.83719958651841,NaN
1421884800,245.5,257.73,216.59,226.32,233.5466666666667,3,NaN,NaN,NaN,NaN,34.00248306246861,NaN
1421971200,230,235,215,235,NaN,0,1.25,NaN,NaN,NaN,35.85183342430359,0.3471897200355972
1422057600,215,250.58,215,240,235.19333333333336,1,1.3,NaN,NaN,NaN,36.94787317053645,0.37974007101924423
1422144000,248.02,256.26,245.32,254.53,252.03666666666666,479,24.5,NaN,NaN,NaN,40.148236599278306,0.4425862572576135
1422230400,262.78,322.72,241.43,274.48,279.54333333333335,5176,283.3,NaN,NaN,NaN,44.32662741682567,0.5265100592109991
1422316800,274.73,278.47,244.03,263.65,262.05,1604,363.5,NaN,NaN,NaN,42.58844969569007,0.5092204092487328
1422403200,263.96,265.99,228.5,236.09,243.5266666666667,5301,628.55,NaN,NaN,NaN,38.455815583437186,0.4276974400006334
1422489600,235.89,242,221.14,235.03,232.72333333333333,6635,960.3,NaN,-27.85899737512517,NaN,38.30187028087706,0.4459622762407039
1422576000,235,244.59,227.89,229.07,233.85,5760,1248.3,NaN,-27.382329359052875,NaN,37.39541201119423,0.4420620503858565
1422662400,229,234.67,217.11,218.45,223.41000000000003,5585,1527.4,NaN,-27.5440016614572,NaN,35.77090817537541,0.40914401074171725
1422748800,218.67,233.79,210,228.99,224.26,7220,1888.3,NaN,-26.51597851762631,NaN,38.620775194103935,0.5044759283592782
1422835200,228.39,240.1,220.89,237.83,232.94000000000003,7421,2259.35,NaN,-24.703185701033703,NaN,40.9858522304198,0.5935285828794067
1422921600,237.01,243.9,225.32,228.58,232.60000000000002,8303,2674.45,NaN,-23.739280380899515,NaN,39.28027058375116,0.5348288045455999
1423008000,228.77,230.99,221.5,227.11,226.53333333333333,9132,3131.05,NaN,-22.830815752522,NaN,39.00249680971636,0.46900969544841464
1423094400,227.11,228.9,215,216.76,220.22,7375,3499.75,NaN,-22.684516505188952,NaN,37.01762259243818,0.3265722263938171
1423180800,216.84,226.64,216.03,223.2,221.95666666666662,5678,3783.65,3.2086566855011256,-21.79764938542445,-25.006306070925575,39.09457599186455,0.387099120867037
1423267200,223.2,230.5,222.67,229,227.39,4079,3987.6,3.6916639363825183,-20.391726150447425,-24.083390086829944,40.982208574648695,0.4202527328361498
1423353600,229.16,231.6,220,223.99,225.1966666666667,4255,4200.35,3.700717574679736,-19.457493118480272,-23.158210693160008,39.83377115715142,0.33625212524593523
1423440000,224.01,225,216.45,221.1,220.84999999999997,6526,4526.65,3.539090427299101,-18.734347659036132,-22.273438086335233,39.15219731325017,0.2820214020358022
1423526400,221.13,222,215,220.87,219.29,5387,4796,3.4406453150205607,-17.972631442559532,-21.413276757580093,39.094865471795536,0.28452455151722633
1423612800,221.07,223.61,217.46,219.81,220.29333333333338,8959,5243.8,3.3261515461504594,-17.25558732489202,-20.58173887104248,38.812782260557434,0.2754649928832009
1423699200,219.96,224.61,218,223.21,221.94000000000003,7842,5635.9,3.484646551240907,-16.225930681991343,-19.71057723323225,40.30071861378411,0.3440394737218762
1423785600,223.2,242.36,221.55,236.49,233.4666666666667,15252,6398.45,4.428513365267698,-14.17493552664763,-18.603448891915328,45.84061004972868,0.5681273511806285
1423872000,236.92,259.98,236.08,256.66,250.90666666666667,15290,7139,6.244767181846335,-10.79748991460741,-17.042257096453746,52.97780493944163,0.8989450895987906
1423958400,256.66,267.86,228,235.54,243.79999999999998,16918,7726.1,5.863340817772183,-9.713081074238517,-15.5764218920107,46.1237016436682,0.6059311593028819
1424044800,235.54,241,229.6,234.68,235.09333333333333,10493,8170.55,5.404028222077363,-8.821386614413996,-14.225414836491359,45.863498174261586,0.65385829280597
1424131200,234.41,248,233,244.82,241.93999999999997,16802,8745.6,5.609653399107815,-7.21334808760659,-12.823001486714405,49.48223689838746,0.8994236338754885
1424217600,244.9,246,231.93,237.49,238.47333333333336,12900,9058.85,5.093589356830343,-6.456014790676477,-11.54960414750682,47.03466318660313,0.7025462121136359
1424304000,237.49,245,235.58,240.9,240.49333333333337,9440,9242.85,4.826029812116081,-5.517066882361718,-10.343096694477799,48.31546564203871,0.76727357478211
1424390400,241.11,248.32,239.99,245.34,244.54999999999998,11173,9522.25,4.782986681182347,-4.364363342999866,-9.147350024182213,50.0105150050442,0.8407620548635498
1424476800,245.34,248.43,244,245.99,246.14000000000001,6196,9471.05,4.630152140835352,-3.3596598481380227,-7.989811988973375,50.26765860428234,0.8214321076626647
