time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
1498867200,1.01,2.5,1,1.26,1.5866666666666667,642350.79644352,NaN,NaN,NaN,NaN,NaN,NaN
1498953600,1.29,3.9,0.98908,3.21998,2.70302,2316433.14688282,NaN,NaN,NaN,NaN,NaN,NaN
1499040000,3.2,6.9,2.5,4.2,4.533333333333334,1835603.28274584,NaN,NaN,NaN,NaN,NaN,NaN
1499126400,4.19999,4.46,2.55174,3.24492,3.418886666666667,1815722.71222095,NaN,NaN,NaN,NaN,NaN,NaN
1499212800,3.19001,3.36,2.6,2.85996,2.939986666666667,752778.10902828,NaN,NaN,NaN,NaN,NaN,NaN
1499299200,2.85986,3.56,2.83005,3.26,3.2166833333333336,635609.00095091,NaN,NaN,NaN,NaN,NaN,NaN
1499385600,3.29503,3.35,2.6,2.65,2.866666666666667,480318.79164498,NaN,NaN,NaN,NaN,NaN,NaN
1499472000,2.65001,2.79994,2.0299,2.40196,2.4106,469750.27822227,NaN,NaN,NaN,NaN,NaN,NaN
1499558400,2.42,2.5498,2.1,2.21442,2.288073333333333,296405.3241536,NaN,NaN,NaN,NaN,NaN,NaN
1499644800,2.25414,2.27998,1.435,1.69745,1.8041433333333334,475544.82061105,NaN,NaN,NaN,NaN,NaN,NaN
1499731200,1.69728,1.83998,1.4,1.525,1.5883266666666664,764538.51321004,NaN,NaN,NaN,NaN,NaN,NaN
1499817600,1.52354,2.1,1.41,1.96004,1.8233466666666667,580631.13448999,NaN,NaN,NaN,NaN,NaN,NaN
1499904000,1.99793,1.99967,1.52,1.67739,1.7323533333333332,390207.38281695,NaN,NaN,NaN,NaN,NaN,NaN
1499990400,1.65507,1.71,1.461,1.50852,1.5598400000000001,285526.90006265,NaN,NaN,NaN,NaN,NaN,NaN
1500076800,1.51397,1.52716,1.28002,1.28777,1.3649833333333332,440683.28379323,NaN,NaN,NaN,NaN,50.18458229365933,NaN
1500163200,1.28649,1.35383,1.1,1.22801,1.2272800000000001,532598.74806444,NaN,NaN,NaN,NaN,49.758876080566,NaN
