time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
1438905600,20,20,1.9,2.56,8.153333333333332,5531.15315894,NaN,NaN,NaN,NaN,NaN,NaN
1438992000,2.55999,2.59809,0.56159,0.65,1.2698933333333333,34229.27417663,NaN,NaN,NaN,NaN,NaN,NaN
1439078400,0.6,0.8,0.52353,0.7,0.67451,4288.88071937,NaN,NaN,NaN,NaN,NaN,NaN
1439164800,0.7,0.74999,0.585,0.67999,0.67166,8681.88370343,NaN,NaN,NaN,NaN,NaN,NaN
1439251200,0.68,1.0077,0.5915,1,0.8664000000000001,26552.18105978,NaN,NaN,NaN,NaN,NaN,NaN
1439337600,0.92378,1.19011,0.83334,1.09315,1.0388666666666666,40528.24606031,NaN,NaN,NaN,NaN,NaN,NaN
1439424000,1.09315,1.91999,1.05314,1.62276,1.5319633333333336,37314.31445695,NaN,NaN,NaN,NaN,NaN,NaN
1439510400,1.74,1.97,1.52,1.58001,1.6900033333333335,80570.49074816,NaN,NaN,NaN,NaN,NaN,NaN
1439596800,1.581,1.62242,1.36002,1.524,1.5021466666666665,40455.63714863,NaN,NaN,NaN,NaN,NaN,NaN
1439683200,1.52,1.52,0.99,1.41569,1.308563333333333,31764.8480259,NaN,NaN,NaN,NaN,NaN,NaN
1439769600,1.3399,1.44769,1.05,1.075,1.1908966666666665,31129.71721891,NaN,NaN,NaN,NaN,NaN,NaN
1439856000,1.075,1.25946,1.00279,1.109,1.12375,30932.05988433,NaN,NaN,NaN,NaN,NaN,NaN
1439942400,1.10911,1.21,1.0909,1.16175,1.1542166666666667,9977.05942678,NaN,NaN,NaN,NaN,NaN,NaN
1440028800,1.16,1.4,1.13,1.32165,1.2838833333333333,13187.70524935,NaN,NaN,NaN,NaN,NaN,NaN
1440115200,1.35447,1.37953,1.20444,1.23043,1.2714666666666667,14598.446888,NaN,NaN,NaN,NaN,32.54429013682875,NaN
1440201600,1.23043,1.2998,1.15801,1.20138,1.21973,16980.77041977,NaN,NaN,NaN,NaN,32.2791295702002,NaN
1440288000,1.20139,1.27,1.13,1.2185,1.2061666666666666,10206.56818267,NaN,NaN,NaN,NaN,32.62751422196577,NaN
1440374400,1.19,1.19,1.08,1.08,1.1166666666666667,18783.70229888,NaN,NaN,NaN,NaN,31.227895028626648,NaN
1440460800,1.07278,1.12999,1,1.00748,1.0458233333333335,40058.73183486,NaN,NaN,NaN,NaN,30.49036247441441,NaN
1440547200,1.001,1.06989,0.93383,1.00536,1.0030266666666667,20718.62349276,25824.514707720497,NaN,NaN,NaN,30.467708676243674,0.3734485501320206
1440633600,1.03,1.06762,1.00301,1.02801,1.03288,36463.68186495,27371.141143021,NaN,NaN,NaN,31.057074807094736,0.39961277276618545
1440720000,1.02,1.11,1.003,1.05002,1.05434,8710.78588294,26095.2167283365,NaN,NaN,NaN,31.6632379834126,0.39215533028447574
1440806400,1.0501,1.099,1.02012,1.04167,1.0535966666666665,1604.66066728,25961.005725732004,NaN,NaN,NaN,31.549906899596238,0.3531522608702979
1440892800,1.0724,1.22981,1.04132,1.19589,1.1556733333333333,24346.4026786,26744.231674490507,NaN,NaN,NaN,36.09915111133398,0.49713213347675517
1440979200,1.16501,1.22988,1.09,1.18214,1.16734,28470.93862398,26840.169552700514,NaN,NaN,NaN,35.87025084158019,0.4663576172483861
1441065600,1.21299,1.24547,1.1919,1.20212,1.2131633333333334,16716.9815626,25649.606327815014,NaN,-0.0472321619881777,NaN,36.500334508118954,0.4857296571607559
1441152000,1.20212,1.20745,1.14,1.16779,1.1717466666666667,10996.69514418,24333.725362176512,NaN,-0.04172514079253875,NaN,35.848595332957814,0.4651600113033599
1441238400,1.17439,1.18,1.0812,1.15599,1.1390633333333333,10129.67842721,20811.684746129013,NaN,-0.037876333408006335,NaN,35.613209142917626,0.4757538719139256
1441324800,1.15001,1.16999,1.10006,1.1535,1.1411833333333334,11508.82585729,19364.344181562014,NaN,-0.03462787937843825,NaN,35.56014826608154,0.5081229014349062
