time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
1539648000,1.8,1.95,1.4001,1.439,1.5963666666666665,175094.09620417,NaN,NaN,NaN,NaN,NaN,NaN
1539734400,1.4638,1.47,1.35,1.414,1.4113333333333333,148809.78061937,NaN,NaN,NaN,NaN,NaN,NaN
1539820800,1.4079,1.4955,1.294,1.295,1.3615000000000002,136332.45413726,NaN,NaN,NaN,NaN,NaN,NaN
1539907200,1.3122,1.3452,1.2505,1.3032,1.2996333333333332,74952.64335719,NaN,NaN,NaN,NaN,NaN,NaN
1539993600,1.2881,1.3,1.26,1.2981,1.2860333333333334,58588.69716739,NaN,NaN,NaN,NaN,NaN,NaN
1540080000,1.2981,1.3727,1.29,1.3249,1.3292,37408.20897933,NaN,NaN,NaN,NaN,NaN,NaN
1540166400,1.349,1.4309,1.315,1.4134,1.3864333333333332,52460.19633032,NaN,NaN,NaN,NaN,NaN,NaN
1540252800,1.4154,1.4154,1.3474,1.383,1.3819333333333332,106181.07929278,NaN,NaN,NaN,NaN,NaN,NaN
1540339200,1.3889,1.3889,1.3365,1.3401,1.3551666666666666,44728.18448258,NaN,NaN,NaN,NaN,NaN,NaN
1540425600,1.3502,1.3502,1.3085,1.3453,1.3346666666666664,33458.11631799,NaN,NaN,NaN,NaN,NaN,NaN
1540512000,1.3438,1.379,1.32,1.3573,1.3521,30474.90789937,NaN,NaN,NaN,NaN,NaN,NaN
1540598400,1.3539,1.3615,1.3221,1.326,1.3365333333333336,12543.7270221,NaN,NaN,NaN,NaN,NaN,NaN
1540684800,1.3446,1.36,1.3267,1.34,1.3422333333333334,16234.32442324,NaN,NaN,NaN,NaN,NaN,NaN
1540771200,1.34,1.3423,1.257,1.257,1.2854333333333334,47129.24172196,NaN,NaN,NaN,NaN,NaN,NaN
1540857600,1.2721,1.3254,1.265,1.2821,1.2908333333333333,23670.41745539,NaN,NaN,NaN,NaN,34.81122942884801,NaN
1540944000,1.28,1.2926,1.2602,1.2926,1.2817999999999998,34930.59454631,NaN,NaN,NaN,NaN,36.207826277053115,NaN
1541030400,1.292,1.3122,1.2855,1.3049,1.3008666666666666,13815.53825318,NaN,NaN,NaN,NaN,37.88656952329595,NaN
1541116800,1.307,1.3333,1.284,1.298,1.3051000000000001,67450.79146719,NaN,NaN,NaN,NaN,37.29367058789495,NaN
1541203200,1.298,1.3218,1.2836,1.317,1.3074666666666668,24875.41805445,NaN,NaN,NaN,NaN,40.07463400497799,NaN
1541289600,1.3169,1.3665,1.2864,1.3346,1.3291666666666666,117386.42597755,62826.242185456,NaN,NaN,NaN,42.61348659588214,0.5070996747819877
1541376000,1.3438,1.3701,1.3079,1.3374,1.3384666666666665,115467.29326135,59844.902038315,NaN,NaN,NaN,43.02703434779151,0.5576568358860543
1541462400,1.3394,1.354,1.318,1.35,1.3406666666666667,58345.56737822,55321.69137625749,NaN,NaN,NaN,44.94956715717074,0.6776349516929012
1541548800,1.35,1.3768,1.319,1.321,1.3389333333333333,108263.53691122,53918.24551495549,NaN,NaN,NaN,41.48014361642869,0.4616677501057741
1541635200,1.3243,1.3365,1.3,1.3032,1.3132333333333333,95382.79503159,54939.75309867548,NaN,NaN,NaN,39.46656838307349,0.33280768436125746
1541721600,1.3189,1.3258,1.2678,1.2864,1.2933333333333334,74954.44431627,55758.04045611948,NaN,NaN,NaN,37.61083920582601,0.22001980133922017
1541808000,1.3028,1.3145,1.2782,1.2941,1.2956,17680.83142928,54771.67157861699,NaN,-0.01591915984834258,NaN,39.025968965979864,0.2898478060498662
1541894400,1.2941,1.3248,1.286,1.3014,1.3040666666666667,21956.0285876,53246.46319148098,NaN,-0.015682813099813897,NaN,40.406054731302,0.3549763298277907
1541980800,1.3014,1.318,1.2502,1.2557,1.2746333333333333,119095.2313611,53892.17079489698,NaN,-0.01896450367461533,NaN,35.05660567624206,0.00837640818636212
1542067200,1.2573,1.3343,1.2285,1.2428,1.2685333333333333,49820.16999938,54146.77007073697,NaN,-0.02234856889789727,NaN,33.70030903830872,-0.009238047331576116
1542153600,1.249,1.257,1.033,1.086,1.1253333333333335,208938.98491596,62920.81350063548,NaN,-0.037253479612458396,NaN,22.37086445556649,-0.4189820307951124
1542240000,1.0973,1.1315,1.0413,1.112,1.0949333333333333,152673.35352201,69030.73578176748,NaN,-0.04643250105990693,NaN,26.76721448095161,-0.13200160845420936
1542326400,1.1109,1.3343,1.0854,1.1012,1.1736333333333333,87598.81732204,72783.49029676447,NaN,-0.05395643523030236,NaN,26.10585063191654,-0.05028595146693411
1542412800,1.1228,1.15,1.0548,1.0758,1.0935333333333332,109595.15275059,77451.53171313198,NaN,-0.06126257812471114,NaN,24.56837463699945,-0.027419926305474327
1542499200,1.0797,1.0902,1.06,1.065,1.0717333333333332,64384.09283829,78314.27426894847,-0.029486798784594023,-0.06715015357617427,-0.03766335479158024,23.923218512725057,0.022727072087470372
1542585600,1.0786,1.0786,0.75,0.8136,0.8807333333333333,881439.65133281,121202.73596281947,-0.04271122281080392,-0.09105238330508514,-0.04834116049428122,14.426473440410277,-0.2653719170721281
1542672000,0.8162,0.86,0.62,0.7142,0.7313999999999999,898311.70279115,164371.79137506147,-0.05466380136483706,-0.11667091220032755,-0.062007110835490487,12.3405618370453,-0.1951740812147253
1542758400,0.7065,0.7299,0.623,0.7169,0.6899333333333333,433729.0393468,185367.46642974246,-0.05855226456170523,-0.13519744153762203,-0.0766451769759168,12.709763334265304,-0.06185060161719023
1542844800,0.7134,0.7461,0.67,0.67,0.6953666666666667,184545.14094308,191222.183903537,-0.06021436048493231,-0.1519131275820822,-0.09169876709714989,11.781523926290603,-0.017458316170734196
1542931200,0.6714,0.679,0.6044,0.6204,0.6345999999999999,360920.41022559,208024.433512094,-0.06042894970281362,-0.16723495422566692,-0.1068060045228533,10.876797840657673,0.013723792794095826
1543017600,0.628,0.6524,0.55,0.5702,0.5908666666666667,156526.0589881,209981.41516262147,-0.05962558143765395,-0.18133798131992074,-0.12171239988226679,10.036729556190707,0.037547420338397704
1543104000,0.5595,0.6524,0.485,0.5942,0.5771999999999999,458752.56487901,227145.6787435045,-0.05335512161881867,-0.1884063019057901,-0.13505118028697144,13.477340758118004,0.11063242858305507
1543190400,0.5942,0.6246,0.5331,0.5695,0.5757333333333334,191546.04533231,233805.70264120898,-0.04697301570756979,-0.1937674499214337,-0.1467944342138639,12.929296473487938,0.13203248708607848
1543276800,0.5695,0.599,0.5356,0.5736,0.5693999999999999,151170.78113511,235951.06485240348,-0.03891048300392766,-0.19543253796877347,-0.1565220549648458,13.557657956093138,0.17170676022960968
1543363200,0.5635,0.6295,0.5515,0.5984,0.5931333333333334,320440.31109232,247203.94065543995,-0.028807632126545746,-0.19253159512302798,-0.16372396299648223,17.438855214040743,0.22187807379449337
1543449600,0.5986,0.5986,0.5,0.5495,0.5493666666666667,616515.18819707,274281.97784947994,-0.022593260885117816,-0.1919655391028795,-0.16937227821776168,15.92093283871759,0.20807342385929295
1543536000,0.5493,0.5554,0.4626,0.49,0.5026666666666667,337130.75466763,290254.47401139745,-0.019766853581137334,-0.19408084519418334,-0.174313991613046,14.29094175065805,0.18496628797611622
1543622400,0.483,0.51,0.4782,0.5019,0.4966999999999999,106609.7221641,294487.1586902224,-0.014610487524355648,-0.19257710101849057,-0.17796661349413492,16.140148574027535,0.21914385471581002
1543708800,0.5,0.5061,0.4661,0.4905,0.4875666666666667,57990.07062275,291431.9006533049,-0.00971770499979338,-0.19011374474387666,-0.18039603974408328,15.788711142143981,0.22987849632099414
1543795200,0.4905,0.4905,0.4326,0.4403,0.4544666666666666,348111.70338177,306346.4773224244,-0.007700596012383237,-0.19002178475956233,-0.1823211887471791,14.310986209659205,0.19841376846537878
1543881600,0.4462,0.485,0.4156,0.4276,0.4427333333333333,163441.41541607,304071.59884742997,-0.005180930064095313,-0.18879735132729825,-0.18361642126320293,13.955137233652707,0.21018503584021067
1543968000,0.4271,0.4567,0.3751,0.3813,0.4043666666666666,275586.766485,310217.2694955795,-0.004610821318098285,-0.1893799479108258,-0.1847691265927275,12.713946589503763,0.17949267579766454
1544054400,0.3797,0.45,0.3352,0.3462,0.3771333333333333,497402.72090538,330707.4646747465,-0.004567276470608117,-0.19047822218098764,-0.18591094571037953,11.853245283479794,0.15286255178795274
1544140800,0.3342,0.3857,0.3125,0.3618,0.35333333333333333,398881.56448579,345171.7852615065,-0.0016100890638267862,-0.187923557040163,-0.18631346797633622,14.619751553167248,0.17723773597339454
1544227200,0.3895,0.4998,0.3575,0.3851,0.4141333333333333,335929.96156569,358749.0786978765,0.0035133581321578344,-0.18192177031113893,-0.18543512844329677,18.722830812672356,0.19073539961339997
1544313600,0.388,0.4212,0.3823,0.397,0.4001666666666666,183693.45914737,323861.7690886045,0.008990466407096442,-0.1741970454344262,-0.18318751184152265,20.81581837945106,0.2274085594748293
1544400000,0.3909,0.398,0.344,0.3507,0.36423333333333335,229139.90140187,290403.1790191405,0.010667444402790938,-0.16985320633803397,-0.1805206507408249,18.78855501076592,0.15418800922550596
1544486400,0.3492,0.3699,0.3476,0.3652,0.3609,116657.48368673,274549.601236137,0.013730465099121736,-0.16335756936692275,-0.17708803446604449,21.371230592052143,0.20599619013598616
1544572800,0.3647,0.4183,0.3545,0.411,0.3946,174283.66060207,274036.52721908654,0.019467860271943,-0.15275320912611573,-0.17222106939805873,29.04673877966374,0.3377278953938376
1544659200,0.4117,0.4451,0.3676,0.3676,0.3934333333333333,200031.96628648,265992.10502213106,0.02084383101579121,-0.1461662806283197,-0.16701011164411092,26.415317234816854,0.2436405934630487
1544745600,0.3676,0.38,0.35,0.37,0.3666666666666667,149010.08833325,265616.3064893886,0.022289356458005394,-0.13914841607160416,-0.16143777252960956,26.810183381484492,0.27380472600941996
1544832000,0.37,0.3878,0.3636,0.3878,0.3797333333333333,121440.23546506,248750.69001869104,0.024634690676109627,-0.1306444091844725,-0.15527909986058214,29.818201295765476,0.34426281780226137
1544918400,0.3832,0.4082,0.3768,0.3865,0.3905,56592.74687478,242003.02509581455,0.026145996485501033,-0.12259660425370583,-0.14874260073920686,29.722124691587467,0.3595220525036434
1545004800,0.3783,0.433,0.3783,0.4189,0.4100666666666667,45339.6574404,236711.46891107905,0.02914638755415727,-0.11230961629651026,-0.14145600385066753,35.316078607512864,0.49096181339963185
1545091200,0.4189,0.48,0.409,0.4429,0.4439666666666666,211504.20747293,231264.66373010952,0.0323203240682029,-0.10105559876541392,-0.13337592283361682,39.17807059833537,0.6327982067331729
1545177600,0.4429,0.539,0.4193,0.4341,0.46413333333333334,403410.65828957,220609.43723473456,0.03326976857903677,-0.09178871210982087,-0.12505848068885764,38.27568102500071,0.6430716493444109
1545264000,0.4341,0.5,0.4341,0.4674,0.4671666666666667,246876.81281237,216096.74014197156,0.03538606826203827,-0.0808258953613098,-0.11621196362334807,43.572198380311974,0.843942929149771
1545350400,0.4654,0.4831,0.4391,0.455,0.4590666666666667,217090.83867821,221620.79596767706,0.035125670990908686,-0.07230487488471221,-0.1074305458756209,42.12271711872263,0.8160782245674748
1545436800,0.4561,0.4786,0.4451,0.4786,0.4674333333333333,29692.68117298,220205.92649518856,0.035606633956494924,-0.06292225343000224,-0.09852888738649716,45.817087870234296,0.981643797642711
1545523200,0.4799,0.59,0.4799,0.5265,0.5321333333333333,162729.13108103,210936.79788015154,0.03799666879201127,-0.051033051396483065,-0.08902972018849434,52.45116367122417,1.1345503192454496
1545609600,0.5319,0.5827,0.52,0.5305,0.5444,133159.56651265,209422.70543498054,0.03856978577960038,-0.04081748796399387,-0.07938727374359425,52.96902234459726,1.0462784635101683
1545696000,0.523,0.523,0.482,0.5016,0.5022,54573.4659804,198372.04040975054,0.0357865406368781,-0.03465409794749663,-0.07044063858437473,48.83102913439395,0.8649247232089262
1545782400,0.5046,0.5455,0.4941,0.512,0.5172,15867.69819172,174295.28927406756,0.03347196446694226,-0.028600683000696903,-0.062072647467639165,50.33466059583927,0.8688068704487084
1545868800,0.5292,0.5292,0.4549,0.4549,0.4796666666666667,147848.06005021,161743.61405228855,0.0271884931516113,-0.028087031028125042,-0.05527552417973634,42.88366847623725,0.6024125153486957
1545955200,0.4583,0.54,0.4523,0.5082,0.5001666666666666,35491.10332942,146721.67114047505,0.025730287208627564,-0.023112665168951885,-0.04884295237757945,50.2820386331008,0.8078434600366263
1546041600,0.5082,0.5265,0.4872,0.4935,0.5024000000000001,63048.53039947,140689.42470308006,0.022974660016357076,-0.020124627357133107,-0.04309928737349018,48.419229189250636,0.7203433686934205
1546128000,0.5007,0.508,0.4736,0.4945,0.4920333333333333,74748.50308494,132969.85478723358,0.020499862275601285,-0.017474459528988573,-0.03797432180458986,48.55884468285171,0.7044332332050289
1546214400,0.4969,0.502,0.4419,0.45,0.46463333333333323,176728.17490919,135973.38934835658,0.015380388944938414,-0.018748835623416837,-0.03412922456835525,42.983266624555874,0.47729067280430143
1546300800,0.45,0.4757,0.441,0.4422,0.4529666666666667,159635.43580195,135240.97810835057,0.0111787086864941,-0.020155838710237628,-0.03133454739673173,42.071407246506865,0.4295729691417309
1546387200,0.4616,0.5479,0.4562,0.4822,0.49543333333333334,109740.36974266,130726.39828115955,0.010797548159372443,-0.017837612197516173,-0.028635160356888616,48.146546152245655,0.6121143478214145
1546473600,0.4786,0.4822,0.47,0.471,0.4744,49413.98841183,125746.59328508854,0.009538922264907594,-0.01671150752575412,-0.026250429790661715,46.6706697727656,0.5254295817360102
