time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
1546300800,3691.87,3701.73,3680.63,3691.89,3691.416666666667,579.7366,NaN,NaN,NaN,NaN,NaN,NaN
1546304400,3691.89,3693.67,3666.4,3676.66,3684.425415938055,734.8646,NaN,NaN,NaN,NaN,NaN,NaN
1546308000,3676.66,3679,3666.3,3674,3681.6647661641273,423.7306,NaN,NaN,NaN,NaN,NaN,NaN
1546311600,3674,3684,3673.99,3682,3681.3461114366132,410.4856,NaN,NaN,NaN,NaN,NaN,NaN
1546315200,3681.03,3700,3678.25,3681.8,3682.396368594173,526.4356,NaN,NaN,NaN,NaN,NaN,NaN
1546318800,3681.81,3690,3681.8,3690,3682.8224397742124,256.4784,NaN,NaN,NaN,NaN,NaN,NaN
1546322400,3690,3694.98,3689,3691.35,3683.9135656483745,406.8227,NaN,NaN,NaN,NaN,NaN,NaN
1546326000,3691.35,3715,3691.35,3701.91,3686.0158862828,419.3418,NaN,NaN,NaN,NaN,NaN,NaN
1546329600,3701.9,3725,3700.94,3713.45,3687.2213272250187,174.8419,NaN,NaN,NaN,NaN,NaN,NaN
1546333200,3712.71,3713.44,3690,3695.08,3687.7302666197224,169.9607,NaN,NaN,NaN,NaN,NaN,NaN
1546336800,3693.25,3707.97,3689.39,3707.36,3687.9303812034736,60.17831,NaN,NaN,NaN,NaN,NaN,NaN
1546340400,3707.36,3716.02,3702,3702.55,3688.3497210781643,94.3246,NaN,NaN,NaN,NaN,NaN,NaN
1546344000,3702.55,3716.05,3699,3715.67,3688.730798403499,75.4246,NaN,NaN,NaN,NaN,NaN,NaN
1546347600,3715.67,3745,3709.85,3718.33,3690.709974976542,254.5777,NaN,NaN,NaN,NaN,NaN,NaN
1546351200,3718.32,3718.33,3690,3695.89,3692.0574223154367,661.1246,NaN,NaN,NaN,NaN,51.521838380763974,NaN
1546354800,3695.88,3697.21,3671.36,3679.07,3690.9423371430967,697.0656,NaN,NaN,NaN,NaN,45.280718540695766,NaN
1546358400,3679.07,3695,3677.04,3694.52,3690.8766200401974,193.1086,NaN,NaN,NaN,NaN,51.1359950133254,NaN
1546362000,3694.52,3702.4,3680,3690.06,3690.8712681170064,640.8036,NaN,NaN,NaN,NaN,49.48968078610858,NaN
1546365600,3690.05,3690.06,3651.02,3664.31,3689.0981325271673,582.5416,NaN,NaN,NaN,NaN,41.235335832297295,NaN
1546369200,3664.31,3699,3664.3,3699,3689.039905077498,266.8176,381.4332655,NaN,NaN,NaN,52.684698737962066,0.6028528547566414
1546372800,3699,3736,3699,3724.04,3691.3782521436347,630.2956,383.9612155,NaN,NaN,NaN,58.9082019223442,0.970602667067483
1546376400,3724.04,3737.09,3715,3722.51,3692.906827403984,395.0096,366.9684655,NaN,NaN,NaN,58.402717067022614,0.8956641787637732
1546380000,3722.61,3724,3712.57,3719.99,3693.5559458459566,222.0566,356.8847655,NaN,NaN,NaN,57.527130904406974,0.8242811333356892
1546383600,3719.98,3841.17,3716.08,3826.1,3711.628666404577,1936.8676,433.2038655,NaN,NaN,NaN,74.7161124322317,1.4510990324051045
1546387200,3826.1,3838.3,3790.6,3801.9,3810.266666666666,622.8956,438.0268655,NaN,NaN,NaN,67.96086616851808,1.1022334195242909
1546390800,3801.9,3806,3790.85,3793,3805.8725239824244,295.7146,439.98867549999994,NaN,33.854274233735396,NaN,65.6114190526767,0.9637642416653561
1546394400,3793,3806,3791.95,3801,3804.553791364051,247.0336,431.9992205,NaN,35.92837887715359,NaN,66.72496949432742,0.9429093518569571
1546398000,3801,3809.99,3799.75,3801.37,3804.4122648538764,232.7016,422.66721049999995,NaN,37.173465092057995,NaN,66.77855047249943,0.8913342693172064
1546401600,3801.36,3804.96,3790.29,3800.01,3803.6160350323225,214.2796,424.6390955,NaN,37.61684072946673,NaN,66.35559795888292,0.8434097811803084
1546405200,3800.01,3801.2,3796,3800.01,3803.3527290899833,99.1456,421.0983405,NaN,37.535532858724764,NaN,66.35559795888292,0.8085088896447686
1546408800,3800,3800,3770.07,3778.02,3800.2457812251523,303.057,433.24227500000006,NaN,35.2898867165909,NaN,59.31115449592022,0.6810893462916922
1546412400,3778.03,3797.46,3778.02,3794.99,3798.693559529468,366.3463,446.84336,NaN,34.48204558851921,NaN,62.610027262101546,0.7399022654226296
1546416000,3794.99,3809.99,3789.9,3802.06,3798.8473511173916,203.148,453.22952999999995,NaN,34.02015244728318,NaN,63.9223792747772,0.7489870471065876
1546419600,3802.06,3802.06,3789,3793.77,3798.57374515829,194.7674,450.239015,-2.7807167090346496,32.60926577027749,35.38998247931214,61.20947991742814,0.6899335765641498
1546423200,3793.77,3810,3789.96,3804,3798.7676114385863,211.0853,427.73705000000007,-2.7533275535698394,31.948323037349837,34.70165059091968,63.28049542382319,0.7159669189685648
1546426800,3804,3830.02,3801.01,3808.51,3799.941965457256,265.26019,406.14677950000015,-2.620377242182137,31.426179038192004,34.04655628037414,64.18825089044455,0.7166898007679822
1546430400,3808.51,3815.5,3798.46,3814.71,3800.4155485987135,168.6576,404.9242295000002,-2.3144084967002456,31.153545659498832,33.46795415619908,65.45265687962541,0.725891626074122
1546434000,3814.71,3853,3812.82,3841.89,3805.0643119625674,516.1576,398.6919295000002,-0.5718649438640497,32.75312297636901,33.32498792023306,70.38852452092391,0.8409337607687455
1546437600,3841.9,3847.92,3817.05,3829.79,3807.9399892023494,479.1746,393.52357950000015,-0.5257055841881026,32.667855939997935,33.19356152418604,65.87622269024652,0.772413830829141
1546441200,3829.79,3829.99,3810,3816.94,3808.943728315061,442.1386,402.28962950000016,-1.5918917807681936,31.203696798225792,32.795588578993986,61.37635432449829,0.6752989491943627
1546444800,3816.04,3886.64,3811.44,3850.38,3817.262144458995,1254.9606,433.52287950000016,-0.3416354785867384,32.36854423076056,32.7101797093473,67.58221813572453,0.9033305888296156
1546448400,3850.38,3864.95,3836.4,3850.2,3819.3929426927284,418.7506,434.70992950000016,0.150210402370476,32.897942712310396,32.74773230993992,67.51933010132502,0.89750567793282
1546452000,3850.19,3852.52,3837,3850,3821.4208104476675,528.2926,450.0217295000002,0.13929723717173914,32.921853856404596,32.78255661923286,67.44423310379482,0.9434177613209572
1546455600,3849.98,3850,3820,3846,3822.299418958176,379.1786,372.1372795000002,-0.4289880810313491,32.24632151794367,32.67530959897502,65.86635745165356,0.8653022348357793
1546459200,3846,3878.77,3839.47,3876.63,3824.976916177224,498.4506,365.91502950000023,0.8941504374006186,33.79299764572579,32.89884720832517,71.38671666188439,1.0750519535442373
1546462800,3876.62,3899,3858.43,3884.63,3829.5243343324782,705.8306,386.4208295000002,1.887203984239008,35.25785218862393,33.37064820438492,72.63169083682273,1.0413580293331617
1546466400,3884.61,3910,3877,3894.21,3833.105407220875,510.7206,399.60517950000025,2.7178397470321087,36.76794788817506,34.05010814114295,74.08577986181068,1.0205947777631659
1546470000,3894.21,3916.57,3887,3890.79,3838.47593485901,824.5906,429.19962950000024,2.5673077539192235,37.259242833541975,34.69193507962275,72.60277849563735,0.9294760705642094
1546473600,3890.8,3893.8,3862.87,3864.53,3873.7333333333336,874.2526,462.19827950000024,0.346243100324628,35.12473895502853,34.778495854703905,62.2919834764585,0.7167532811688254
1546477200,3864.54,3875,3851,3866.29,3870.038287521907,543.6906,484.42552950000027,-1.2687776505924262,33.19252379146337,34.4613014420558,62.6745845562493,0.707299124740108
1546480800,3866.3,3874.78,3860,3865.48,3868.879954538062,772.3286,507.88910950000025,-2.58039936297223,31.23580223834051,33.81620160131274,62.36097992469179,0.6823947579708857
1546484400,3865.48,3876.37,3861.46,3871.51,3869.0017100352343,342.6456,506.7040745000003,-3.190704985676163,29.827820369217534,33.0185253548937,63.8126398361682,0.708568053356883
1546488000,3871.51,3881.57,3865.05,3865.06,3869.106976822795,183.5016,505.7217545000003,-4.118618223265948,27.870252575811264,31.988870799077212,61.098188887301234,0.6364412230195549
1546491600,3865.06,3867.41,3832,3850.06,3867.075818890241,319.8076,511.9737645000003,-5.7332128771657445,24.822354702620032,30.555567579785777,55.215785908324,0.48056632430339263
1546495200,3848.8,3852.26,3841,3846.83,3866.378278396276,107.6076,506.7998795000002,-6.929365364839274,21.893860873736685,28.82322623857596,54.009928420583186,0.4216838633723726
1546498800,3846.83,3858.51,3845.27,3846.71,3865.8210465750826,111.8838,499.13106000000016,-7.586275759536196,19.340381539155715,26.92665729869191,53.96277747265138,0.389144885790645
1546502400,3846.71,3850,3826,3831.18,3864.244218697907,180.0192,499.69914000000017,-8.83690287125592,15.880528709622013,24.717431580877932,48.10921821503729,0.17624838676470123
1546506000,3831.18,3836.5,3815.2,3833.56,3861.592432157189,274.651,487.62381000000016,-9.230984731102218,13.178700667000157,22.409685398102376,49.02185906251859,0.21697829121648507
1546509600,3833.55,3843,3830.78,3836.37,3861.001686566314,90.2571,468.17793500000016,-9.019061321950794,11.135858745663882,20.154920067614675,50.13693063365814,0.24263394939963354
1546513200,3836.38,3838,3823.72,3834.39,3859.9330779656425,145.5887,453.35044000000016,-8.723545270324525,9.25048847970902,17.974033750033545,49.31833261538183,0.18399093889378915
1546516800,3834.6,3850.99,3827.08,3849.91,3858.749214398506,290.3686,405.12084000000016,-7.254434568524918,8.905990539377399,16.160425107902316,55.457366695230874,0.39440074883926374
1546520400,3849.91,3851,3840,3847.6,3858.2060800299737,191.6566,393.7661400000001,-6.248085308947932,8.3503184717174,14.598403780665333,54.40112817342728,0.36536125985058004
1546524000,3846.53,3846.53,3832,3836.87,3856.904430136414,312.6216,382.9825900000002,-6.107644526345505,6.963848122733452,13.071492649078957,49.66895920213017,0.23642291556527636
1546527600,3836.87,3845,3826,3839.38,3855.57428242147,335.7696,380.8121400000001,-5.658434113296478,5.998450007458359,11.656884120754837,50.74823592525678,0.2766075870174849
1546531200,3839.38,3840.54,3758.07,3771.23,3838.9663150443216,1719.9806,441.8886400000001,-9.53570063931064,-0.2627416783834633,9.272958960927177,31.191123295339665,-0.2634887359332269
1546534800,3771.24,3788.12,3763.08,3779.61,3834.9480382889824,470.7826,430.13624000000016,-11.015766772173146,-4.496749504289255,6.519017267883891,34.532111648026614,-0.06595542495199108
1546538400,3779.61,3783.2,3767,3780,3831.558610705664,449.2886,427.06464000000017,-11.40052260088805,-7.73163598322617,3.6688866176618786,34.69104261138827,0.005633443055643536
1546542000,3779.99,3787.27,3771.01,3779.99,3828.9871921714243,400.3496,405.85259000000013,-11.078132582761459,-10.178779110789947,0.899353471971513,34.688717260479606,0.056700605791162005
1546545600,3780,3801.56,3780,3798.99,3827.6187014168822,325.7316,378.4265400000001,-9.090994370794503,-10.464389491521615,-1.3733951207271127,42.566032882418455,0.23806322478514258
1546549200,3798.99,3801.27,3790.17,3794.55,3826.6360683434436,265.0016,364.4920900000001,-7.6397591359180055,-10.923094040624619,-3.283334904706614,41.31208019823262,0.23053742350886336
1546552800,3794.55,3797.84,3780.01,3796.46,3825.3845856925454,321.0106,341.9261900000001,-6.177838932303183,-11.005633570085593,-4.82779463778241,42.10223979109654,0.26982591511663223
1546556400,3796.46,3796.46,3780.71,3787.57,3824.1945419451717,298.8956,339.7386900000001,-5.461008094723452,-11.654054756186724,-6.193046661463272,39.44052300655992,0.22222304830163325
1546560000,3787.57,3788.81,3752.98,3765.01,3768.933333333333,594.3696,360.2820900000001,-6.108703016298601,-13.828925431836524,-7.720222415537923,33.630110626951236,0.07995856147331695
1546563600,3765,3790,3765,3782.87,3772.405076193217,299.7126,359.2773400000001,-4.984270069053045,-13.950560001854228,-8.966289932801184,41.03601592040098,0.25452570695561727
1546567200,3782.87,3782.87,3773.61,3779.13,3773.4418529597697,181.9426,362.9940900000001,-4.175147717344741,-14.18522457948211,-10.01007686213737,40.02872787532577,0.2488816374837587
1546570800,3779.13,3805,3774.48,3800.08,3778.2577852357695,347.1166,374.75573000000014,-2.02089734317485,-12.536198541105932,-10.515301197931082,47.763688410437425,0.4450357467270323
1546574400,3800.08,3819.55,3782.58,3794.84,3783.110935889494,434.9576,387.50265000000013,-0.8032547298836086,-11.519369610285594,-10.716114880401985,46.160026431089406,0.4129172275107758
1546578000,3794.01,3799.99,3786.68,3795.89,3784.122418063212,186.7436,383.1072800000001,0.16675333157283845,-10.507673215935938,-10.674426547508777,46.5473083761599,0.4378151702732712
1546581600,3795.89,3813.16,3795.67,3801.01,3786.9383021452177,352.3526,396.21205500000013,1.1900572551386883,-9.186854978585416,-10.376912233724104,48.492913678948426,0.5023562085450353
1546585200,3801.01,3819.73,3801,3806.88,3789.914513745521,369.8806,407.42665000000017,2.238273576613704,-7.579070262956975,-9.817343839570679,50.70811602831415,0.5765800251589487
1546588800,3806.89,3816.5,3790,3790.69,3790.7118092245887,264.1646,406.11645000000016,1.8342361327432037,-7.524548673641675,-9.358784806384879,44.96421595339446,0.43340612587811916
1546592400,3790.68,3795.66,3776,3780.74,3790.422542053575,139.4195,403.50459500000017,0.9351761010806765,-8.189814680034033,-9.12499078111471,41.828326091570844,0.33131240876607604
